name,side,route,run,status,url,finalUrl,duration,isSlow,gotoError,bodyReadError,bodyLength,divCount,hasUrl,hasBody,hasDivs,consoleErrors,pageErrors,failedRequests,badResponses,ignoredConsoleErrors,ignoredFailedRequests,ignoredBadResponses
"salon finance run 2","salon","finance",2,"PASS","http://localhost:5173/#/salon/totem-demo-salon/finance","http://localhost:5173/#/salon/totem-demo-salon/finance",2363,false,"","",1663,118,true,true,true,0,0,0,0,1,0,0
"salon services run 2","salon","services",2,"PASS","http://localhost:5173/#/salon/totem-demo-salon/services","http://localhost:5173/#/salon/totem-demo-salon/services",2331,false,"","",964,70,true,true,true,0,0,0,0,4,1,0
"salon clients run 2","salon","clients",2,"PASS","http://localhost:5173/#/salon/totem-demo-salon/clients","http://localhost:5173/#/salon/totem-demo-salon/clients",2380,false,"","",534,52,true,true,true,0,0,0,0,1,0,0
"salon settings run 2","salon","settings",2,"PASS","http://localhost:5173/#/salon/totem-demo-salon/settings","http://localhost:5173/#/salon/totem-demo-salon/settings",2413,false,"","",1464,91,true,true,true,0,0,0,0,1,0,0
"salon money run 2","salon","money",2,"PASS","http://localhost:5173/#/salon/totem-demo-salon/money","http://localhost:5173/#/salon/totem-demo-salon/money",2410,false,"","",1383,112,true,true,true,0,0,0,0,1,0,0
"salon settlements run 2","salon","settlements",2,"PASS","http://localhost:5173/#/salon/totem-demo-salon/settlements","http://localhost:5173/#/salon/totem-demo-salon/settlements",2358,false,"","",973,85,true,true,true,0,0,0,0,1,0,0
"salon payouts run 2","salon","payouts",2,"PASS","http://localhost:5173/#/salon/totem-demo-salon/payouts","http://localhost:5173/#/salon/totem-demo-salon/payouts",2376,false,"","",1214,123,true,true,true,0,0,0,0,1,0,0
"salon transactions run 2","salon","transactions",2,"PASS","http://localhost:5173/#/salon/totem-demo-salon/transactions","http://localhost:5173/#/salon/totem-demo-salon/transactions",2399,false,"","",4164,414,true,true,true,0,0,0,0,4,1,0
"salon contracts run 2","salon","contracts",2,"PASS","http://localhost:5173/#/salon/totem-demo-salon/contracts","http://localhost:5173/#/salon/totem-demo-salon/contracts",2527,false,"","",2180,61,true,true,true,0,0,0,0,1,0,0
"salon dashboard run 3","salon","dashboard",3,"PASS","http://localhost:5173/#/salon/totem-demo-salon/dashboard","http://localhost:5173/#/salon/totem-demo-salon/dashboard",2356,false,"","",1671,89,true,true,true,0,0,0,0,1,0,0
"salon masters run 3","salon","masters",3,"PASS","http://localhost:5173/#/salon/totem-demo-salon/masters","http://localhost:5173/#/salon/totem-demo-salon/masters",3032,false,"","",1614,212,true,true,true,0,0,0,0,1,0,0
"salon bookings run 3","salon","bookings",3,"PASS","http://localhost:5173/#/salon/totem-demo-salon/bookings","http://localhost:5173/#/salon/totem-demo-salon/bookings",2352,false,"","",591,50,true,true,true,0,0,0,0,4,1,0
